name,address
Maranatha Christian Church Pastors Office,"315 10th Ave SEMinneapolis, MN 55414"
Victory Christian Center,"3500 E Lake StMinneapolis, MN 55406"
Straitgate Church,"638 E Franklin AveMinneapolis, MN 55404"
Calvary Baptist Church,"2608 Blaisdell AveMinneapolis, MN 55408"
New Salem Baptist Church,"2507 Bryant Ave NMinneapolis, MN 55411"
Morrison Baptist Church,"3400 N 4th StMinneapolis, MN 55412"
Faith Baptist Church,"4350 Russell Ave NMinneapolis, MN 55412"
Woodcrest Baptist Church,"6875 University Ave NEMinneapolis, MN 55432"
Creek Valley Baptist Church ABC,"6400 Tracy AveMinneapolis, MN 55439"
West River Road Baptist Church,"8801 W River RdMinneapolis, MN 55444"
Oliver Presbyterian Church,"2647 Bloomington AveMinneapolis, MN 55407"
St. Andrew's Episcopal Church,"Golden Valley Rd & James Ave NMinneapolis, MN 55401"
St Paul's Episcopal Church,"1917 Logan Ave S Ste 1Minneapolis, MN 55403"
Aldrich Avenue Presbyterian Church,"3501 Aldrich Ave SMinneapolis, MN 55408"
St Luke's Episcopal Church,"4557 Colfax Ave SMinneapolis, MN 55419"
St John's Episcopal Church,"4201 Sheridan Ave SMinneapolis, MN 55410"
Knox Presbyterian Church,"4747 Lyndale Ave SMinneapolis, MN 55419"
Saint George's Episcopal Church,"5224 Minnetonka BlvdMinneapolis, MN 55416"
Hope Presbyterian Church,"7132 Portland AveMinneapolis, MN 55423"
Church Of The Epiphany,"4900 Nathan Ln NMinneapolis, MN 55442"
St Alban's Episcopal Church,"6716 Gleason RdMinneapolis, MN 55439"
Bethany International,"6820 Auto Club RdMinneapolis, MN 55438"
Presbyterian Church Of The Master,"789 Northdale Blvd NWMinneapolis, MN 55448"
All Nations Indian Church,"1515 E 23rd StMinneapolis, MN 55404"
Spirit-St Stephens Catholic,"106 E 24th StMinneapolis, MN 55404"
Holy Cross Church,"1621 University Ave NEMinneapolis, MN 55413"
Church-Ascension,"1723 Bryant Ave NMinneapolis, MN 55411"
St Clement's Church,"911 24th Ave NEMinneapolis, MN 55418"
New Creation Church,"1922 25th Ave NMinneapolis, MN 55411"
