name,address
Trinity United Methodist Church,"3104 W Glendale AvePhoenix, AZ 85051"
St Luke's At The Mountain Episcopal Mission,"9027 S 8th PlPhoenix, AZ 85042"
West High Baptist Church,"3301 N 19th AvePhoenix, AZ 85015"
Faith Missionary Baptist Church,"5802 S 7th AvePhoenix, AZ 85041"
Arizona Baptist Children's Svc,"1717 W Northern AvePhoenix, AZ 85021"
Northwest Baptist Church,"6701 N 43rd AvePhoenix, AZ 85019"
Royal Palms Baptist Church,"8802 N 19th AvePhoenix, AZ 85021"
North Mountain Baptist Church,"10202 N Cave Creek RdPhoenix, AZ 85020"
Hillside Southern Baptist Church,"1344 W Thunderbird RdPhoenix, AZ 85023"
Northwest Chinese Baptist Church,"4243 W Greenway RdPhoenix, AZ 85053"
Westminster Presbyterian Church,"4735 N 19th AvePhoenix, AZ 85015"
Church Of Christ Valley,"3535 W Georgia AvePhoenix, AZ 85019"
Our Saviour's Lutheran Church,"1212 E Glendale AvePhoenix, AZ 85020"
Camelback Church Of Christ,"5225 E Camelback RdPhoenix, AZ 85018"
Bethany Presbyterian Church,"7702 N 35th AvePhoenix, AZ 85051"
Alleluia Lutheran Church,"8444 W Encanto BlvdPhoenix, AZ 85037"
Lutheran Church Of The Master,"2340 W Cactus RdPhoenix, AZ 85029"
Emmaus Lutheran Church,"3841 W Sweetwater AvePhoenix, AZ 85029"
Calvin Presbyterian Church,"4150 E Acoma DrPhoenix, AZ 85032"
Paradise Valley Lutheran Church,"14845 N 40th StPhoenix, AZ 85032"
Deer Valley Lutheran Church,"220 W Union Hills DrPhoenix, AZ 85027"
Northside Church Of Christ,"20222 N 32nd DrPhoenix, AZ 85027"
Immaculate Heart Church,"909 E Washington StPhoenix, AZ 85034"
Central United Methodist Church,"1875 N Central AvePhoenix, AZ 85004"
Cross Roads United Methodist Church,"7901 N Central AvePhoenix, AZ 85020"
Calvary United Methodist Church,"7949 W Indian School RdPhoenix, AZ 85033"
Cross In The Desert United Methodist Church,"12835 N 32nd StPhoenix, AZ 85032"
Saint John-The Desert Melkite,"3718 E Greenway RdPhoenix, AZ 85032"
North Village Baptist Church,"1010 E Alice AvePhoenix, AZ 85020"
North Valley Free Will Baptist,"18220 N 20th StPhoenix, AZ 85022"
Pentecost Church-Jesus Christ,"102 N 13th StPhoenix, AZ 85034"
Trinity Church Of God In Christ,"1702 E Jefferson StPhoenix, AZ 85034"
Seventh Day Adventist Community Service Center,"1320 N 15th StPhoenix, AZ 85006"
St Peter & Paul Eastern Orthodox,"1614 E Monte Vista RdPhoenix, AZ 85006"
Casa De Cristo,"1029 E Turney AvePhoenix, AZ 85014"
Seventh-Day Adventist Church,"200 W Southern AvePhoenix, AZ 85041"
The Gathering Place,"5536 N 6th StPhoenix, AZ 85012"
Jesus First Church,"498 W Missouri AvePhoenix, AZ 85013"
Phoenix First Apostolic Church,"749 E Baseline RdPhoenix, AZ 85042"
Love International Ministries,"5219 N 27th AvePhoenix, AZ 85017"
Beacon Light Sda Church,"2602 N 51st AvePhoenix, AZ 85035"
Celebration Church,"6630 N Central AvePhoenix, AZ 85012"
Maryvale Church Of-Nazarene,"3201 N 51st AvePhoenix, AZ 85031"
Community Of Christ,"4224 N 44th StPhoenix, AZ 85018"
Camelback Seventh-Day Adventist,"5902 E Camelback RdPhoenix, AZ 85018"
Sunnyslope Mennonite Church,"9835 N 7th StPhoenix, AZ 85020"
International Healing Cathedral,"9840 N 15th StPhoenix, AZ 85020"
Calvary Chapel North Phoenix,"14201 N 32nd StPhoenix, AZ 85032"
Faith Builders International Ministries,"949 E Bell RdPhoenix, AZ 85022"
Paradise Community Church,"4242 E Greenway RdPhoenix, AZ 85032"
Bell Road Assembly of God,"3427 E Bell RdPhoenix, AZ 85032"
First Church Of The Nazarene,"19201 N 7th AvePhoenix, AZ 85027"
Christ Church Anglican,"5811 N 20th StPhoenix, AZ 85016"
Crossroads Christian Fellowship,"42425 N New River RdPhoenix, AZ 85086"
Whitton Avenue Bible Church,"2601 E Whitton AvePhoenix, AZ 85016"
Monte Vista Baptist Church,"2409 N 36th StPhoenix, AZ 85008"
North Valley Baptist Church,"2109 E Rose Garden LnPhoenix, AZ 85024"
Tonto Church of Christ,"1101 W Tonto StPhoenix, AZ 85007"
Encanto Community Church-United Church,"2710 N 7th AvePhoenix, AZ 85007"
Morningside Presbyterian Church,"2001 E Campbell Ave Ste 104Phoenix, AZ 85016"
Korean New Life Presbyterian Church,"3314 W Rose LnPhoenix, AZ 85017"
St Paul Lutheran Church,"6301 W Indian School RdPhoenix, AZ 85033"
Trinity Lutheran Church,"9424 N 7th AvePhoenix, AZ 85021"
Christ The Redeemer Lutheran Church,"8801 N 43rd AvePhoenix, AZ 85051"
St Mark Lutheran Church,"3030 E Thunderbird RdPhoenix, AZ 85032"
Crosswinds Presbyterian Church,"20125 N 15th AvePhoenix, AZ 85027"
St Philip The Deacon Catholic Center,"615 N 20th StPhoenix, AZ 85006"
Fullers Field Church By Christ,"2416 W Saint Catherine AvePhoenix, AZ 85041"
Child Evangelism Fellowship,"6060 N 7th AvePhoenix, AZ 85013"
Living Water Fellowship,"5106 N 37th AvePhoenix, AZ 85019"
The Potters House Christian Church,"6005 W Thomas RdPhoenix, AZ 85033"
Desert Christian Fellowship,"1445 W Northern AvePhoenix, AZ 85021"
Calvary Chapel Deseret Hills,"711 E Carefree Hwy Ste 120Phoenix, AZ 85085"
Catholic Community Of The Good Shepherd,"2825 W Rose Canyon CirPhoenix, AZ 85086"
The Church On Fillmore,"745 W Fillmore StPhoenix, AZ 85007"
Shiloh Apostolic,"1921 E Wood StPhoenix, AZ 85040"
Praise Chapel Phoenix,"777 W Montecito AvePhoenix, AZ 85013"
Way Of Life Church,"5802 S 15th AvePhoenix, AZ 85041"
Gentle Shepherd Metropolitan Community Church,"715 E Southern AvePhoenix, AZ 85040"
Heavenly Cross Pentecostal,"3426 N 32nd St Apt 4Phoenix, AZ 85018"
Vietnamese Buddist Congregation,"2302 N 47th AvePhoenix, AZ 85035"
Azusa World Ministries South,"4001 E Broadway RdPhoenix, AZ 85040"
Living Streams Church,"7000 N Central AvePhoenix, AZ 85020"
Desert Valley Church Of God,"4001 E Baseline RdPhoenix, AZ 85042"
Soka Gakkai Intl Usa,"1930 E Myrtle AvePhoenix, AZ 85020"
West Valley Spanish Sda Church,"6445 W Encanto BlvdPhoenix, AZ 85035"
First Wesleyan Holiness Church,"7121 N 43rd AvePhoenix, AZ 85051"
Desert Rose Community Church,"3150 N 71st AvePhoenix, AZ 85033"
North Mountain Christian Assembly,"341 E Mountain View RdPhoenix, AZ 85020"
Apostolic Christian Church,"9230 N 26th St Unit 100Phoenix, AZ 85028"
Desert Cove Assembly of God,"1416 W Desert Cove AvePhoenix, AZ 85029"
Desert Rose Community Church,"11001 N 24th Ave Ste 607Phoenix, AZ 85029"
Gospel Ministers & Churches,"3233 W Peoria Ave Ste 101Phoenix, AZ 85029"
St Nikolas Serbian Church,"11640 N 16th PlPhoenix, AZ 85020"
Paradise Valley SDA Church,"2727 E Cactus RdPhoenix, AZ 85032"
Larkspur Christian Church Ln Of Christ,"3302 W Larkspur DrPhoenix, AZ 85029"
Circle Of Unified Life,"2101 W Surrey AvePhoenix, AZ 85029"
The Church of Jesus Christ of Latter-day Saints,"15016 N 39th AvePhoenix, AZ 85053"
Happy Valley Church,"25435 N 15th AvePhoenix, AZ 85085"
New Vision Center for Spiritual Living,"Phoenix, AZ 85032"
Family of Christ Child Development Center,"3501 E Chandler BlvdPhoenix, AZ 85048"
Lutheran Social Ministry of The Southwest,"2020 W Indian School Rd Ste E26Phoenix, AZ 85015"
Catalyst Church,"3830 N 67th AvePhoenix, AZ 85033"
Phoenix Christian Assembly 1,"2030 N 36th StPhoenix, AZ 85008"
St Theresa Parish,"5045 E Thomas RdPhoenix, AZ 85018"
Valley Community Church Of God,"3250 N 40th StPhoenix, AZ 85018"
St Thomas The Apostle School,"4510 N 24th StPhoenix, AZ 85016"
The Wellness Community,"360 E Palm LnPhoenix, AZ 85004"
Slavic Christian Church,"1748 W Cortez StPhoenix, AZ 85029"
Telugu Christian Church,"Parish Hall 5811 N 20 StPhoenix, AZ 85016"
S.T.O.P. Church,"16251 N Cave Creek Rd Ste 5Phoenix, AZ 85032"
Jewish Voice Ministries,"16001 N 34th StPhoenix, AZ 85032"
First Congregational United Church Of Christ,"1407 N 2nd StPhoenix, AZ 85004"
Phoenix Bible Church,"735 E Fillmore StPhoenix, AZ 85006"
All Saints Lutheran Church,"15649 N 7th StPhoenix, AZ 85022"
The Word Teaches,"14820 N 39th StPhoenix, AZ 85032"
CalvaryPHX,"12612 N Black Canyon HwyPhoenix, AZ 85029"
West Valley Bible Church,"13945 Grand AvePhoenix, AZ 85007"
Once-A-Month Church Outreach To Poor & Homeless,"3rd E ThomasPhoenix, AZ 85010"
Arizona Ecumenical Council,"1550 E Meadowbrook AvePhoenix, AZ 85014"
Life Connect Ministries International Inc.,"3001 W Indian School Rd Ste 201Phoenix, AZ 85017"
Iglesia De Cristo,"4415 W Thomas RdPhoenix, AZ 85031"
Christian Philosophy Church,"3029 E Elm StPhoenix, AZ 85016"
Christ View Church,"3233 W Peoria Ave Ste 101Phoenix, AZ 85029"
