text,address,place,lon,lat
Gahanna Free Will Baptist Church,"3868 N Stygler Rd Columbus, OH 43230",Columbus,-82.88821,40.03734
First Baptist Church,"1185 Noe Bixby Rd Columbus, OH 43213",Columbus,-82.8519001,39.9558033
Peace Lutheran Church,"455 Clark State Rd Columbus, OH 43230",Columbus,-82.8645769,40.023923
Newsong Community Church,"226 N 5th St Columbus, OH 43215",Columbus,-82.9954277,39.9676471
Friends Worship Center,"3030 Clime Rd Columbus, OH 43223",Columbus,-83.0754966,39.92465170000001
Oakley Full Gospel Baptist Church,"3415 El Paso Dr Columbus, OH 43204",Columbus,-83.09410319999999,39.9731177
Shadeville Church Of God,"4800 Lockbourne Rd Columbus, OH 43207",Columbus,-82.9694358,39.8623923
Von Thomas Ministries,"2101 S Hamilton Rd Ste 212 Columbus, OH 43232",Columbus,-82.88015,39.931767
Ambassadors For Christ,"2300 S Hamilton Rd Columbus, OH 43232",Columbus,-82.8771853,39.9263345
Redeemer Assembly Of God,"2236 S Hamilton Rd Columbus, OH 43232",Columbus,-82.8775387,39.9292858
Resurrection Power Church Of God In Christ,"81 Price Rd Columbus, OH 43230",Columbus,-82.879387,40.008495
Wonderland Community Church,"4693 Friendship Dr Columbus, OH 43230",Columbus,-82.87092369999999,40.0039857
Gahanna Community Congregational Church,"470 Havens Corners Rd Columbus, OH 43230",Columbus,-82.8646629,40.019143
Vineyard Christian Church,"1055 McNaughten Rd Columbus, OH 43213",Columbus,-82.8388607,39.9573915
Commited to The Word Church Attn Carolyn Tucker,"6105 E Livingston Ave Columbus, OH 43232",Columbus,-82.8328849,39.9418511
Polaris Assembly of God,"8405 Pulsar Pl Ste 200 Columbus, OH 43240",Columbus,-82.96638860000002,40.139802
Christ Lutheran Church,"2314 E Main St Columbus, OH 43209",Columbus,-82.936846,39.9574721
Pilgrim Missionary Baptist Church,"26 N 21st St Columbus, OH 43203",Columbus,-82.972073,39.966019
North Park Church Of Christ-Christian,"4938 Westerville Rd Columbus, OH 43231",Columbus,-82.925011,40.07271000000001
Beth Messiah Congregation,"4950 Morse Rd Columbus, OH 43230",Columbus,-82.8595402,40.0562497
Rhema Christian Center,"2100 Agler Rd Columbus, OH 43224",Columbus,-82.955953,40.0274945
Northwest Church Of The Nazarene,"5707 Olentangy River Rd Columbus, OH 43235",Columbus,-83.04092039999999,40.077282
St Peter Church,"6899 Smoky Row Rd Columbus, OH 43235",Columbus,-83.06558410000001,40.1060137
St Catharine Church,"500 S Gould Rd Columbus, OH 43209",Columbus,-82.9231795,39.9606994
"Zion International Ministries, Inc.","Po Box 91354 Columbus, OH 43209",Columbus,-82.9340217,39.9556925
Capital City Church,"1290 Old Henderson Rd Columbus, OH 43220",Columbus,-83.05451180000001,40.0527485
Zion Evangelical Lutheran Church Missouri Synod,"766 S High St Columbus, OH 43206",Columbus,-82.997078,39.946502
Mt Zion Missionary Baptist Church,"1535 Dewey Ave Columbus, OH 43219",Columbus,-82.96431179999999,39.9922215
House of Prayer for All Nations,"6186 Busch Blvd Columbus, OH 43229",Columbus,-82.99324469999999,40.0925243
Strong Tower Fellowship Church,"3377 W Broad St Columbus, OH 43204",Columbus,-83.090499,39.953863
Crestview Presbyterian Church,"350 E Tulane Rd Columbus, OH 43202",Columbus,-83.0039649,40.023126
Greek Orthodox Cathedral The Annunciation,"555 N High St Columbus, OH 43215",Columbus,-83.0036947,39.9733092
Exodus Fellowship Church,"812 E Fulton St Columbus, OH 43205",Columbus,-82.9771841,39.9555832
Trinity Pentecostal Chr-Christ,"844 Summit St Columbus, OH 43215",Columbus,-83.00033599999999,39.979956
Meredith Temple Church of God In Christ,"1158 Mount Vernon Ave Columbus, OH 43203",Columbus,-82.971324,39.972755
So Help Me God Church of Christ,"2300 Parkwood Ave Columbus, OH 43211",Columbus,-82.956058,40.0150377
St Mary Magdalene,"473 S Roys Ave Columbus, OH 43204",Columbus,-83.0773283,39.9452655
McKendree United Methodist Church,"3330 Cleveland Ave Columbus, OH 43224",Columbus,-82.962688,40.034592
Holy Resurrection,"4611 Glenmawr Ave Columbus, OH 43224",Columbus,-82.9972769,40.0593612
Beechwold Christian Church,"280 Morse Rd Columbus, OH 43214",Columbus,-83.0117986,40.0626943
Columbus Han-Dle Presbyterian Church,"360 Morse Rd Columbus, OH 43214",Columbus,-83.0095741,40.0623607
Hebrew Missionary Baptist Church,"1338 Gault St Columbus, OH 43205",Columbus,-82.9625731,39.9508507
Dominican  Sister Of Peace,"2320 Airport Dr Columbus, OH 43219",Columbus,-82.940325,39.991157
All Saints Catholic Academy,"2855 E Livingston Ave Columbus, OH 43209",Columbus,-82.92133020000001,39.9465328
14th Street Ministries,"3377 W Broad St Columbus, OH 43204",Columbus,-83.090499,39.953863
